cohort_id,path_source,role,allow_fit,allow_tuning,allow_locked_evaluation,scientific_use
HRA005041,current_atlas,development,True,True,False,UMI-supported paired gdT and alpha-beta receptor truth
GSE144469,current_atlas,development,True,True,False,Exact CD3-library raw-contig repair with per-chain UMI support
MalteGDT,current_atlas,development,True,True,False,Sorted gdT positive development cohort
GDT_2020AUG_woCOV,current_atlas,locked_sorted_positive,False,False,True,Whole-dataset donor-safe sorted gdT validation
GDTlung2023july_7p,current_atlas,locked_sorted_positive_stress,False,False,True,Sorted gdT validation with suboptimal library quality
BALF_BLOOD_COPD,current_atlas,locked_external,False,False,True,Mandatory external paired-receptor validation
GSE114724,extension_manifest,locked_extension,False,False,True,New-cohort lockbox
GSE121636_GSE121637,extension_manifest,locked_extension,False,False,True,New-cohort mixed T/NK lockbox
GSE159251,extension_manifest,locked_extension,False,False,True,New-cohort lockbox
GSE169246,extension_manifest,locked_extension,False,False,True,New-cohort author-NK and alpha-beta specificity lockbox
GSE292700,extension_manifest,locked_extension,False,False,True,New-cohort alpha-beta specificity lockbox
GSE294273_GSE294274,extension_manifest,locked_extension,False,False,True,New-cohort lockbox
GSE296954,extension_manifest,locked_extension,False,False,True,New-cohort lockbox
GSE315928,extension_manifest,locked_extension,False,False,True,New-cohort paired-alpha-beta specificity lockbox
