cohort_id,accession,scope,field,local_column,local_scope_regex,local_value,geo_supported_value,status,confidence,direct_url,evidence_note
GSE114724,GSE114724,five selected tumor specimens,specimen_context_primary_vs_metastatic,specimen_context,,primary_tumor,breast tumor; primary versus metastatic origin not deposited,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114724,"GEO establishes breast-tumor origin but does not label these five specimens as primary or metastatic, so the local primary_tumor value is more specific than GEO."
GSE121636_GSE121637,GSE121636,renal tumor specimens,specimen_context_primary_vs_metastatic,specimen_context,,blood|primary_tumor,renal tumor or blood; primary versus metastatic status not explicit,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121636,GEO supports renal-tumor and blood context but does not explicitly label the tumors primary or metastatic.
GSE169246,GSE169246,tumor records at breast or chest_wall sites,specimen_context_primary_vs_metastatic,,,local values include primary_tumor or metastatic_tumor,tumor biopsy at the recorded site; exact primary recurrent locoregional or metastatic class not deposited,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169246,The series says primary or metastatic tumor tissues overall but does not assign that distinction to each breast or chest-wall GSM.
GSE292700,GSE292700,tumor libraries,specimen_context_primary_vs_metastatic,specimen_context,,adjacent_non_tumor|blood|primary_tumor,tumor adjacent tissue or blood; primary versus metastatic tumor status not deposited,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292700,GEO supports adjacent and blood distinctions but does not explicitly classify the tumor as primary or metastatic.
GSE292700,GSE292700,two donors,patient_demographics_stage_treatment_response,,,not present locally,,unavailable_in_geo,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292700,The reviewed series and matrix do not deposit donor demographics stage treatment or response.
GSE294273_GSE294274,GSE294273,individual patients,patient_stage_demographics_specific_ici_regimen,,,not present in canonical local fields,,unavailable_in_geo,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294273,GEO provides cohort-level stage III/IV and untreated resistant or responder groups but not per-patient stage demographics or a specific ICI regimen.
GSE296954,GSE296954,individual patients,response_demographics_stage,,,not present locally,,unavailable_in_geo,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,The reviewed GEO series and sample metadata do not deposit per-patient response demographics or stage.
GSE296954,GSE296954,tumor biopsies,specimen_context_primary_vs_metastatic,specimen_context,,primary_tumor,tumor biopsy from newly diagnosed HPV-unrelated HNSCC; exact anatomic primary nodal or metastatic site not deposited,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,Newly diagnosed status supports untreated tumor context but GEO does not explicitly locate each biopsy as primary rather than nodal or metastatic.
GSE315928,GSE315928,B F1 and F2 suffixes,timepoint,timepoint,,B|F1|F2,pre-treatment post-chemotherapy and post-immunotherapy sampling stages; exact suffix-to-stage mapping is not explicit in the series matrix alone,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315928,"The series defines three longitudinal stages, but the reviewed matrix only supplies B/F1/F2 titles without a direct suffix dictionary."
GSE315928,GSE315928,deposited sample workbook,tumor_grade,,,no canonical local field; deposited workbook column is blank,,unavailable_in_geo,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315928/suppl/GSE315928_Paired_scRNA_TCR-seq_Sample_metadata.xlsx,The GEO-hosted sample workbook includes a tumor-grade column but does not provide grade values.
