scanvi_detailed_label,scanvi_tnk_superclass,cells,mean_confidence
"effector memory CD8-positive, alpha-beta T cell",T_cell,263114,0.122485645
"CD16-positive, CD56-dim natural killer cell, human",NK_cell,241688,0.0902016
"naive thymus-derived CD4-positive, alpha-beta T cell",T_cell,208760,0.10675753
"CD8-positive, alpha-beta cytotoxic T cell",T_cell,206003,0.122618504
"naive thymus-derived CD8-positive, alpha-beta T cell",T_cell,179860,0.2029616
CD4-positive helper T cell,T_cell,177922,0.08184795
natural killer cell,NK_cell,143202,0.1483102
T-helper 1 cell,reference_other,139797,0.086199455
"effector memory CD4-positive, alpha-beta T cell",T_cell,132245,0.07780385
"CD8-positive, alpha-beta T cell",T_cell,129593,0.1660267
regulatory T cell,T_cell,128993,0.093012325
T follicular regulatory cell,reference_other,126533,0.07176153
"activated CD8-positive, alpha-beta T cell",T_cell,113234,0.06968577
"activated CD4-positive, alpha-beta T cell, human",T_cell,111196,0.07541977
"central memory CD4-positive, alpha-beta T cell",T_cell,106180,0.05668724
"CD4-positive, alpha-beta thymocyte",T_cell,105901,0.08031076
"CD4-positive, alpha-beta cytotoxic T cell",T_cell,104286,0.09090109
"lung resident memory CD8-positive, alpha-beta T cell",T_cell,97794,0.086154155
"activated CD4-positive, alpha-beta T cell",T_cell,95929,0.07808238
"CD4-positive, alpha-beta memory T cell",T_cell,94158,0.117769465
"CD4-positive, alpha-beta T cell",T_cell,93486,0.2653762
monocyte,reference_other,91655,0.108043954
alpha-beta T cell,T_cell,91514,0.066166796
exhausted T cell,T_cell,90479,0.08898154
"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",T_cell,87580,0.0811491
"effector CD4-positive, alpha-beta T cell",T_cell,86581,0.14612862
paneth cell of colon,reference_other,86069,0.08818665
naive T cell,T_cell,83761,0.08097617
T follicular helper cell,reference_other,82297,0.051137358
double negative thymocyte,reference_other,78577,0.056930505
memory T cell,T_cell,77017,0.05291499
Tc1 cell,reference_other,71705,0.10690193
enterocyte of colon,reference_other,69649,0.085286304
type II NK T cell,T_cell,68454,0.074556
T-helper 17 cell,reference_other,68324,0.056644402
group 2 innate lymphoid cell,reference_other,68104,0.09119044
"effector CD8-positive, alpha-beta T cell",T_cell,67350,0.07991798
"lung resident memory CD4-positive, alpha-beta T cell",T_cell,65612,0.10111481
intermediate cell of urothelium,reference_other,64430,0.067742646
"central memory CD8-positive, alpha-beta T cell",T_cell,64100,0.07814806
leukocyte,reference_other,62384,0.06391621
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",T_cell,61467,0.07929354
intermediate monocyte,reference_other,59011,0.07182678
"CD8-positive, alpha-beta memory T cell",T_cell,58074,0.14221436
promyelocyte,reference_other,53189,0.070187464
"CD8-positive, alpha-beta thymocyte",T_cell,51960,0.08219349
mucosal invariant T cell,T_cell,48983,0.07666623
hepatic pit cell,T_cell,48230,0.06378336
erythroblast,reference_other,48119,0.09820702
myeloid dendritic cell,reference_other,47517,0.063579954
mature alpha-beta T cell,T_cell,44869,0.07057689
natural T-regulatory cell,reference_other,44848,0.049466904
mature NK T cell,T_cell,42492,0.047222584
lymphocyte,reference_other,42349,0.05459274
CD38-negative naive B cell,reference_other,40671,0.18562463
classical monocyte,reference_other,40503,0.14513938
midzonal region hepatocyte,reference_other,37135,0.07470115
"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",T_cell,36872,0.055721436
gamma-delta T cell,T_cell,36314,0.12499158
colon goblet cell,T_cell,36002,0.0690546
naive B cell,reference_other,33152,0.1559545
keratinocyte,reference_other,32486,0.0950409
unswitched memory B cell,reference_other,30732,0.13706811
adipocyte,reference_other,30499,0.08964968
T cell,T_cell,28606,0.36520648
"double-positive, alpha-beta thymocyte",T_cell,27349,0.06595305
innate lymphoid cell,reference_other,27207,0.061117325
memory B cell,reference_other,26554,0.13213658
non-classical monocyte,reference_other,26399,0.22634889
"CD16-negative, CD56-bright natural killer cell, human",NK_cell,26054,0.06591354
thymocyte,reference_other,25910,0.05763803
type I NK T cell,T_cell,24152,0.082396775
unknown,reference_other,23539,0.043411233
paneth cell of epithelium of small intestine,reference_other,22901,0.073087014
CD14-positive monocyte,reference_other,22842,0.08888468
glutamatergic neuron,reference_other,21660,0.087993786
kidney epithelial cell,reference_other,20766,0.06559407
"CD56-positive, CD161-positive immature natural killer cell, human",NK_cell,20727,0.29005453
immature alpha-beta T cell,T_cell,20484,0.10223576
mature astrocyte,reference_other,19127,0.09995136
male germ cell,reference_other,18583,0.13393928
mature B cell,reference_other,18542,0.07165733
B-2 B cell,reference_other,18489,0.16133587
nasal mucosa goblet cell,T_cell,17579,0.08186766
microglial cell,reference_other,17045,0.074361116
group 3 innate lymphoid cell,reference_other,16487,0.20051879
myelocyte,reference_other,15774,0.097267896
epicardial adipocyte,reference_other,14880,0.13846885
blood cell,reference_other,14870,0.052007187
"CD14-positive, CD16-positive monocyte",reference_other,14718,0.11242984
seromucus secreting cell,reference_other,13978,0.116745904
mature microglial cell,reference_other,13770,0.11500677
platelet,reference_other,12025,0.31449062
myeloid cell,reference_other,11379,0.1163123
enteroendocrine cell of colon,reference_other,11206,0.12872942
transitional stage B cell,reference_other,10972,0.1352395
intestine goblet cell,T_cell,10945,0.07866583
glomerular endothelial cell,reference_other,10904,0.13227524
lymphocyte of B lineage,reference_other,10355,0.07910591
"CD14-positive, CD16-low monocyte",reference_other,10131,0.07346471
inflammatory macrophage,reference_other,9933,0.07539503
lymphoid lineage restricted progenitor cell,reference_other,9871,0.1626949
GABAergic neuron,reference_other,9820,0.10871092
class switched memory B cell,reference_other,9510,0.09888149
choroid plexus epithelial cell,reference_other,9179,0.08397649
epithelial cell of urethra,reference_other,8948,0.15322195
macrophage,reference_other,8579,0.2097977
mononuclear phagocyte,reference_other,7705,0.13192146
dendritic cell,reference_other,7517,0.1727505
umbrella cell of urothelium,reference_other,7280,0.16076775
plasmablast,reference_other,7216,0.2730998
neutrophil,reference_other,6707,0.1988355
late promyelocyte,reference_other,6650,0.07407848
type A enteroendocrine cell,reference_other,6614,0.08178112
erythrocyte,reference_other,6240,0.52849007
intestinal tuft cell,T_cell,6122,0.06379968
respiratory epithelial cell,reference_other,5628,0.1031496
intestinal crypt stem cell,reference_other,4746,0.07183776
plasmacytoid dendritic cell,reference_other,4625,0.6416926
immature B cell,reference_other,4555,0.10497787
centroblast,reference_other,4523,0.16515955
Kupffer cell,reference_other,4512,0.15816998
enteroendocrine cell,reference_other,4425,0.064182594
plasma cell,reference_other,4283,0.18663509
oogonial cell,reference_other,4206,0.09625659
IgA plasma cell,reference_other,3923,0.2129205
liver dendritic cell,reference_other,3536,0.1318415
promonocyte,reference_other,3494,0.11074712
acinar cell of salivary gland,reference_other,2943,0.1684472
B cell,reference_other,2907,0.11125652
medullary thymic epithelial cell,reference_other,2837,0.31630975
precursor B cell,reference_other,2789,0.11332606
IgG plasma cell,reference_other,2615,0.2638304
granulosa cell,reference_other,2458,0.090160035
"dendritic cell, human",reference_other,2169,0.14266942
IgG plasmablast,reference_other,2096,0.15198137
astrocyte,reference_other,1971,0.06370202
IgG-negative class switched memory B cell,reference_other,1968,0.12719704
oligodendrocyte precursor cell,reference_other,1962,0.1488023
IgA plasmablast,reference_other,1960,0.11113903
squamous epithelial cell,reference_other,1955,0.3941985
