cohort_id,accession,scope,field,local_column,local_scope_regex,local_value,geo_supported_value,status,confidence,direct_url,evidence_note
GSE114724,GSE114724,five selected GEX libraries,tissue,tissue,,breast_tumor,breast tumor,resolved_verified_local,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3148575,All five selected GEX GSM records identify resident tissue as breast tumor; the broader parent study also includes other tissues that are not in this selected subseries object.
GSE114724,GSE114724,five selected tumor specimens,specimen_context_primary_vs_metastatic,specimen_context,,primary_tumor,breast tumor; primary versus metastatic origin not deposited,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114724,"GEO establishes breast-tumor origin but does not label these five specimens as primary or metastatic, so the local primary_tumor value is more specific than GEO."
GSE114724,GSE114724,paired GEX and TCR records,assay,,,10x_5prime,10x 5-prime gene expression plus T-cell V(D)J enrichment,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3148580,GEX GSMs use the 5-prime library kit; matching _TCR GSMs use the Chromium V(D)J enrichment kit and deposit contig annotations.
GSE114724,GSE114724,selected cohort,tumor_type,diagnosis,,breast_cancer,breast carcinoma cohort,resolved_verified_local,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114724,The series describes immune cells from breast carcinomas and the selected GSM titles are tumor specimens.
GSE114724,GSE114724,three donors and paired libraries,donor_sample_library_relationship,,,3 donors; 5 biological tumor samples; 5 GEX libraries in local H5AD,BC09 BC10 and BC11; five tumor sample titles; each title has one GEX GSM and one matching _TCR GSM,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114724/soft/GSE114724_family.soft.gz,Family SOFT lists ten GSMs as five title-matched GEX/TCR pairs; two donors have replicate tumor samples.
GSE121636_GSE121637,GSE121636,GEX series,assay,,,scRNA,10x 5-prime single-cell gene expression,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3440844,The GEX GSM uses the Chromium Single Cell 5-prime enrichment kit and deposits expression matrices.
GSE121636_GSE121637,GSE121636,cohort,tumor_type,diagnosis,,renal_clear_cell_carcinoma,clear-cell renal cell carcinoma,resolved_verified_local,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121636,The series title and design explicitly describe renal clear-cell carcinoma.
GSE121636_GSE121637,GSE121636,renal tumor specimens,specimen_context_primary_vs_metastatic,specimen_context,,blood|primary_tumor,renal tumor or blood; primary versus metastatic status not explicit,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121636,GEO supports renal-tumor and blood context but does not explicitly label the tumors primary or metastatic.
GSE121636_GSE121637,GSE121636,six GEX specimens,tissue,tissue,,blood|renal_tumor,three renal tumors and three matched peripheral-blood specimens,resolved_verified_local,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121636/matrix/GSE121636_series_matrix.txt.gz,The GEX matrix names GU0700 GU0715 and GU0744 tumor and peripheral-blood specimens.
GSE121636_GSE121637,GSE121636,three donors and six GEX libraries,donor_sample_library_relationship,,,3 donors; 6 samples; 6 GEX libraries,GU0700 GU0715 and GU0744 each contribute one tumor and one peripheral-blood specimen,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121636/matrix/GSE121636_series_matrix.txt.gz,The shared GU identifier and T/P suffix provide a deterministic donor/specimen relationship.
