dataset_id,source_type,accession,phase0_active,current_milestone_active,current_cell_count,extended_atlas_active,extended_atlas_cell_count,integration_role,legacy_raw_path,processed_h5ad_path,status,exclusion_reason,notes
GDT_2020AUG_woCOV,local_external,GDT_2020AUG_woCOV,false,false,0,true,25904,extended_five_million_atlas_input,newdata/Sorted_gdT,data/datasets/GDT_2020AUG_woCOV/processed/current.h5ad,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GDTlung2023july_7p,local_external,GDTlung2023july_7p,false,false,0,true,15175,extended_five_million_atlas_input,newdata/Sorted_gdT,data/datasets/GDTlung2023july_7p/processed/current.h5ad,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE123813,GEO,GSE123813,false,false,0,false,0,available_not_selected,downloads/GSE123813,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE125527,GEO,GSE125527,true,true,46396,true,46396,current_atlas_input,downloads/GSE125527,data/datasets/GSE125527/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE139555,GEO,GSE139555,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE139555,data/datasets/GSE139555/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE144469,GEO,GSE144469,true,false,0,true,107068,extended_five_million_atlas_input,downloads/GSE144469,data/datasets/GSE144469/processed/current.h5ad,active_extended_atlas,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE145926,GEO,GSE145926,true,true,21039,true,21039,current_atlas_input,downloads/GSE145926,data/datasets/GSE145926/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE149298,GEO,GSE149298,false,false,0,false,0,available_not_selected,downloads/GSE149298,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE155222,GEO,GSE155222,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE155222,data/datasets/GSE155222/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE155223,GEO,GSE155223,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE155223,data/datasets/GSE155223/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE161918,GEO,GSE161918,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE161918,data/datasets/GSE161918/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE162498,GEO,GSE162498,true,true,75880,true,75880,current_atlas_input,downloads/GSE162498,data/datasets/GSE162498/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE162499,GEO,GSE162499,false,false,0,false,0,available_not_selected,downloads/GSE162499,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE168163,GEO,GSE168163,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE168163,data/datasets/GSE168163/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE168859,GEO,GSE168859,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE168859,data/datasets/GSE168859/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE169441,GEO,GSE169441,false,false,0,false,0,available_not_selected,downloads/GSE169441,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE171037,GEO,GSE171037,true,true,31937,true,31937,current_atlas_input,downloads/GSE171037,data/datasets/GSE171037/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE175930,GEO,GSE175930,false,false,0,false,0,available_not_selected,downloads/GSE175930,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE178882,GEO,GSE178882,true,true,67755,true,67755,current_atlas_input,downloads/GSE178882,data/datasets/GSE178882/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE179994,GEO,GSE179994,false,false,0,false,0,available_not_selected,downloads/GSE179994,data/datasets/GSE179994/processed/current.h5ad,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE181710,GEO,GSE181710,false,false,0,false,0,available_not_selected,downloads/GSE181710,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE188620,GEO,GSE188620,true,true,123218,true,123218,current_atlas_input,downloads/GSE188620,data/datasets/GSE188620/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE189126,GEO,GSE189126,false,false,0,false,0,available_not_selected,downloads/GSE189126,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE190870,GEO,GSE190870,true,true,16753,true,16753,current_atlas_input,downloads/GSE190870,data/datasets/GSE190870/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE198265,GEO,GSE198265,false,false,0,false,0,available_not_selected,downloads/GSE198265,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE206325,GEO,GSE206325,false,false,0,true,501012,extended_five_million_atlas_input,,data/datasets/GSE206325/processed/current.h5ad,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE211504,GEO,GSE211504,true,true,37244,true,37244,current_atlas_input,downloads/GSE211504,data/datasets/GSE211504/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE212217,GEO,GSE212217,true,true,213706,true,213706,current_atlas_input,downloads/GSE212217,data/datasets/GSE212217/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE221776,GEO,GSE221776,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE221776,data/datasets/GSE221776/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE227709,GEO,GSE227709,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE227709,data/datasets/GSE227709/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE228597,GEO,GSE228597,true,true,149812,true,149812,current_atlas_input,downloads/GSE228597,data/datasets/GSE228597/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE229858,GEO,GSE229858,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE229858,data/datasets/GSE229858/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE229860,GEO,GSE229860,false,false,0,false,0,available_not_selected,downloads/GSE229860,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE232240,GEO,GSE232240,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE232240,data/datasets/GSE232240/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE234069,GEO,GSE234069,false,true,20807,true,20807,current_atlas_input,downloads/GSE234069,data/datasets/GSE234069/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE234352,GEO,GSE234352,false,false,0,false,0,available_not_selected,downloads/GSE234352,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE235863,GEO,GSE235863,false,true,241766,true,241766,current_atlas_input,downloads/GSE235863,data/datasets/GSE235863/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE240361,GEO,GSE240361,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE240361,data/datasets/GSE240361/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE240865,GEO,GSE240865,false,true,21680,true,21680,current_atlas_input,downloads/GSE240865,data/datasets/GSE240865/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE241783,GEO,GSE241783,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE241783,data/datasets/GSE241783/processed/current.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE243013,GEO,GSE243013,true,true,759436,true,759436,current_atlas_input,,data/datasets/GSE243013/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE243572,GEO,GSE243572,true,true,188217,true,188217,current_atlas_input,downloads/GSE243572,data/datasets/GSE243572/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE243905,GEO,GSE243905,true,true,350438,true,350438,current_atlas_input,downloads/GSE243905,data/datasets/GSE243905/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE247531,GEO,GSE247531,false,false,0,false,0,available_not_selected,downloads/GSE247531,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE252762,GEO,GSE252762,true,true,45132,true,45132,current_atlas_input,downloads/GSE252762,data/datasets/GSE252762/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE253173,GEO,GSE253173,false,false,0,false,0,available_not_selected,downloads/GSE253173,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE254176,GEO,GSE254176,true,true,96953,true,96953,current_atlas_input,downloads/GSE254176,data/datasets/GSE254176/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE254249,GEO,GSE254249,true,true,406494,true,406494,current_atlas_input,downloads/GSE254249,data/datasets/GSE254249/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE267639,GEO,GSE267639,false,false,0,false,0,available_not_selected,downloads/GSE267639,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE267642,GEO,GSE267642,false,false,0,false,0,available_not_selected,downloads/GSE267642,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE267645,GEO,GSE267645,true,true,92501,true,92501,current_atlas_input,downloads/GSE267645,data/datasets/GSE267645/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE271413,GEO,GSE271413,false,false,0,false,0,available_not_selected,downloads/GSE271413,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE273170,GEO,GSE273170,false,false,0,false,0,available_not_selected,downloads/GSE273170,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE276167,GEO,GSE276167,false,false,0,false,0,available_not_selected,downloads/GSE276167,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE278119,GEO,GSE278119,false,false,0,false,0,available_not_selected,downloads/GSE278119,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE286518,GEO,GSE286518,false,false,0,false,0,available_not_selected,downloads/GSE286518,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE287301,GEO,GSE287301,false,true,340227,true,340227,current_atlas_input,downloads/GSE287301,data/datasets/GSE287301/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE287541,GEO,GSE287541,false,true,110874,true,110874,current_atlas_input,downloads/GSE287541,data/datasets/GSE287541/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE288452,GEO,GSE288452,false,false,0,false,0,available_not_selected,downloads/GSE288452,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE296971,GEO,GSE296971,false,false,0,false,0,available_not_selected,downloads/GSE296971,,available,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE301528,GEO,GSE301528,true,true,44105,true,44105,current_atlas_input,downloads/GSE301528,data/datasets/GSE301528/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE308075,GEO,GSE308075,true,true,112337,true,112337,current_atlas_input,downloads/GSE308075,data/datasets/GSE308075/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
GSE311112,GEO,GSE311112,true,true,90599,true,90599,current_atlas_input,downloads/GSE311112,data/datasets/GSE311112/processed/current.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
HRA005041,local_external,HRA005041,false,false,0,true,766639,extended_five_million_atlas_input,newdata/HRA005041,data/datasets/HRA005041/processed/current.h5ad,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review. Canonical physical storage is dataset-centered under data/datasets.
