old_path,new_path,category,reason
analyze_mait_sample_stratified.py,workflows/analysis/analyze_mait_sample_stratified.py,analysis,Post-Phase-4 focused analysis
analyze_paired_vs_no_trab_marker_expression.py,workflows/analysis/analyze_paired_vs_no_trab_marker_expression.py,analysis,Post-Phase-4 focused analysis
analyze_phase3_leiden_deg_and_gdt_enrichment.py,workflows/analysis/analyze_phase3_leiden_deg_and_gdt_enrichment.py,analysis,Post-Phase-4 focused analysis
analyze_trd_positive_negative_pseudobulk_deg.py,workflows/analysis/analyze_trd_positive_negative_pseudobulk_deg.py,analysis,Post-Phase-4 focused analysis
audit_premerge_gse_tcr_score_scatter.py,workflows/analysis/audit_premerge_gse_tcr_score_scatter.py,analysis,Pre-merge audit
build_gdtai_overview_report.py,workflows/gdtai/build_gdtai_overview_report.py,gdtai,gdTAI report workflow
build_phase3_phase4_training_report.py,workflows/reporting/build_phase3_phase4_training_report.py,reporting,Phase report workflow
build_plus6_gdt_report_assets.py,workflows/reporting/build_extended_atlas_gdt_report_assets.py,reporting,Retire ambiguous plus6 entrypoint name
compare_gdtai_latest_vs_v2_high_purity.py,workflows/gdtai/compare_gdtai_latest_vs_v2_high_purity.py,gdtai,gdTAI comparison workflow
disease_status_correction_workflow.py,workflows/metadata/disease_status_correction_workflow.py,metadata,Metadata harmonization
phase0_dataset_audit.py,workflows/integration/phase0_dataset_audit.py,integration,Canonical Phase 0
phase1_extract_tnk_candidates.py,workflows/integration/phase1_extract_tnk_candidates.py,integration,Canonical Phase 1
phase1_finalize_from_temp.py,workflows/integration/phase1_finalize_from_temp.py,integration,Canonical Phase 1
phase1b_conservative_cleanup.py,workflows/integration/phase1b_conservative_cleanup.py,integration,Canonical Phase 1b
phase1c_replace_harmonized_metadata.py,workflows/integration/phase1c_replace_harmonized_metadata.py,integration,Canonical Phase 1c
phase2_merged_cleanup.py,workflows/integration/phase2_merged_cleanup.py,integration,Canonical Phase 2
phase3_scvi_scanvi.py,workflows/integration/phase3_scvi_scanvi.py,integration,Canonical Phase 3
phase3_scvi_scanvi_diagnostic.py,workflows/integration/phase3_scvi_scanvi_diagnostic.py,integration,Phase 3 diagnostics
phase4_gdt_module_scoring.py,workflows/integration/phase4_gdt_module_scoring.py,integration,Canonical Phase 4
phase4_score_single_h5ad.py,workflows/intake/phase4_score_single_h5ad.py,intake,Standalone intake scoring
plot_current_milestone_dataset_composition.py,workflows/reporting/plot_current_milestone_dataset_composition.py,reporting,Milestone reporting
plot_gdt_truth_trd_trab_marker_scatter.py,workflows/gdtai/plot_gdt_truth_trd_trab_marker_scatter.py,gdtai,gdTAI evaluation figure
plot_phase3_tnk_marker_umaps.py,workflows/reporting/plot_phase3_tnk_marker_umaps.py,reporting,Phase 3 reporting
plot_phase4_raw_only_visuals.py,workflows/reporting/plot_phase4_raw_only_visuals.py,reporting,Phase 4 reporting
plot_phase4_threshold_barplots.py,workflows/integration/plot_phase4_threshold_barplots.py,integration,Canonical Phase 4 companion
plot_plus6_newest_cell_type_umap.py,workflows/reporting/plot_extended_atlas_cell_type_umap.py,reporting,Retire ambiguous plus6 entrypoint name
plot_plus6_sorted_gdt_umap.py,workflows/reporting/plot_extended_atlas_sorted_gdt_umap.py,reporting,Retire ambiguous plus6 entrypoint name
plot_plus6_tcr_pairing_umap.py,workflows/reporting/plot_extended_atlas_tcr_pairing_umap.py,reporting,Retire ambiguous plus6 entrypoint name
plot_plus6_tnk_marker_umaps.py,workflows/reporting/plot_extended_atlas_tnk_marker_umaps.py,reporting,Retire ambiguous plus6 entrypoint name
plot_standalone_phase4_tissue_source_scatter.py,workflows/reporting/plot_standalone_phase4_tissue_source_scatter.py,reporting,Standalone reporting
plus6_parallel_pipeline.py,workflows/integration/build_extended_atlas.py,integration,Retire ambiguous plus6 entrypoint name
predict_with_gdtai_v2.py,workflows/gdtai/predict_with_gdtai_v2.py,gdtai,Stable gdTAI v2 inference
predict_with_selected_gdt_model.py,workflows/gdtai/predict_with_selected_gdt_model.py,gdtai,Legacy selected-model inference
process_hra005041_tcr_intake.py,workflows/intake/process_hra005041_tcr_intake.py,intake,External intake
process_sorted_gdt_rds_intake.py,workflows/intake/process_sorted_gdt_rds_intake.py,intake,Sorted gdT intake
promote_gdtai_v3_and_build_predicted_gdt_atlas.py,workflows/gdtai/promote_gdtai_v3_and_build_predicted_gdt_atlas.py,gdtai,Model promotion
refresh_phase3_phase4_training_report_assets.py,workflows/reporting/refresh_phase3_phase4_training_report_assets.py,reporting,Report refresh
refresh_phase4_raw_report_scatter_panels.py,workflows/reporting/refresh_phase4_raw_report_scatter_panels.py,reporting,Report refresh
remove_10x3_samples_from_milestones.py,workflows/maintenance/remove_10x3_samples_from_milestones.py,maintenance,Milestone curation
remove_no_tcr_gene_gses_from_milestones.py,workflows/maintenance/remove_no_tcr_gene_gses_from_milestones.py,maintenance,Milestone curation
render_gdtai_v3_clear_report.py,workflows/gdtai/render_gdtai_v3_clear_report.py,gdtai,gdTAI report rendering
render_plus6_final_report.py,workflows/reporting/render_extended_atlas_report.py,reporting,Retire ambiguous plus6 entrypoint name
repair_flagged_gse_tcr_and_phase4_qc.py,workflows/intake/repair_flagged_gse_tcr_and_phase4_qc.py,intake,Per-dataset repair
repair_h5ad_drop_current_only_noncoding.py,workflows/intake/repair_h5ad_drop_current_only_noncoding.py,intake,Per-dataset repair
repair_h5ad_from_raw.py,workflows/intake/repair_h5ad_from_raw.py,intake,Per-dataset repair
repair_h5ad_from_selected_inputs.py,workflows/intake/repair_h5ad_from_selected_inputs.py,intake,Per-dataset repair
replace_validated_tcr_in_project_objects.py,workflows/intake/replace_validated_tcr_in_project_objects.py,intake,TCR propagation
run_gdt_atlas_curated_phenotype_analysis.py,workflows/gdt_atlas/run_gdt_atlas_curated_phenotype_analysis.py,gdt_atlas,gdT atlas analysis
run_gdt_atlas_rigorous_reanalysis.py,workflows/gdt_atlas/run_gdt_atlas_rigorous_reanalysis.py,gdt_atlas,gdT atlas analysis
run_gdt_atlas_tumor_type_audit.py,workflows/gdt_atlas/run_gdt_atlas_tumor_type_audit.py,gdt_atlas,gdT atlas audit
run_gdt_classifier_failure_mode_audit.py,workflows/gdtai/run_gdt_classifier_failure_mode_audit.py,gdtai,Classifier audit
run_gdt_deg_tcr_classifier_training.py,workflows/gdtai/run_gdt_deg_tcr_classifier_training.py,gdtai,Classifier training
run_gdt_gse144469_holdout_tcrgene_classifier.py,workflows/gdtai/run_gdt_gse144469_holdout_tcrgene_classifier.py,gdtai,Classifier training
run_gdt_prediction_package_evaluation.py,workflows/gdtai/run_gdt_prediction_package_evaluation.py,gdtai,Classifier evaluation
run_gdtai_annotation_specific_cascade.py,workflows/gdtai/run_gdtai_annotation_specific_cascade.py,gdtai,Classifier experiment
run_gdtai_annotation_specific_tp_fn_audit.py,workflows/gdtai/run_gdtai_annotation_specific_tp_fn_audit.py,gdtai,Classifier audit
run_gdtai_multiguard_classifier.py,workflows/gdtai/run_gdtai_multiguard_classifier.py,gdtai,Classifier experiment
run_gdtai_nk_optimized_gdt_atlas.py,workflows/gdt_atlas/run_gdtai_nk_optimized_gdt_atlas.py,gdt_atlas,gdT atlas construction
run_gdtai_nkguard_classifier.py,workflows/gdtai/run_gdtai_nkguard_classifier.py,gdtai,Classifier experiment
