dataset_id,source_type,accession,phase0_active,current_milestone_active,current_cell_count,extended_atlas_active,extended_atlas_cell_count,integration_role,legacy_raw_path,processed_h5ad_path,status,exclusion_reason,notes
GDT_2020AUG_woCOV,local_external,GDT_2020AUG_woCOV,false,false,0,true,25904,extended_five_million_atlas_input,newdata/Sorted_gdT,newdata/Sorted_gdT/GDT_2020AUG_woCOV_sorted_gdt.h5ad,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review.
GDTlung2023july_7p,local_external,GDTlung2023july_7p,false,false,0,true,15175,extended_five_million_atlas_input,newdata/Sorted_gdT,newdata/Sorted_gdT/GDTlung2023july_7p_sorted_gdt.h5ad,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE123813,GEO,GSE123813,false,false,0,false,0,available_not_selected,downloads/GSE123813,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE125527,GEO,GSE125527,true,true,46396,true,46396,current_atlas_input,downloads/GSE125527,downloads/per_gse_h5ad_with_metadata/GSE125527_with_metadata.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE139555,GEO,GSE139555,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE139555,analysis_26GSE_V4/scanpy_projects/GSE139555/outputs/GSE139555_scanpy_processed.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE144469,GEO,GSE144469,true,false,0,true,107068,extended_five_million_atlas_input,downloads/GSE144469,downloads/per_gse_h5ad_with_metadata/GSE144469_with_metadata.h5ad,active_extended_atlas,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE145926,GEO,GSE145926,true,true,21039,true,21039,current_atlas_input,downloads/GSE145926,analysis_26GSE_V4/scanpy_projects/GSE145926/outputs/GSE145926_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE149298,GEO,GSE149298,false,false,0,false,0,available_not_selected,downloads/GSE149298,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE155222,GEO,GSE155222,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE155222,downloads/per_gse_h5ad_with_metadata/GSE155222_with_metadata.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE155223,GEO,GSE155223,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE155223,downloads/per_gse_h5ad_with_metadata/GSE155223_with_metadata.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE161918,GEO,GSE161918,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE161918,analysis_26GSE_V4/scanpy_projects/GSE161918/outputs/GSE161918_scanpy_processed.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE162498,GEO,GSE162498,true,true,75880,true,75880,current_atlas_input,downloads/GSE162498,analysis_26GSE_V4/scanpy_projects/GSE162498/outputs/GSE162498_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE162499,GEO,GSE162499,false,false,0,false,0,available_not_selected,downloads/GSE162499,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE168163,GEO,GSE168163,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE168163,downloads/per_gse_h5ad_with_metadata/GSE168163_with_metadata.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE168859,GEO,GSE168859,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE168859,downloads/per_gse_h5ad_with_metadata/GSE168859_with_metadata.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE169441,GEO,GSE169441,false,false,0,false,0,available_not_selected,downloads/GSE169441,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE171037,GEO,GSE171037,true,true,31937,true,31937,current_atlas_input,downloads/GSE171037,analysis_26GSE_V4/scanpy_projects/GSE171037/outputs/GSE171037_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE175930,GEO,GSE175930,false,false,0,false,0,available_not_selected,downloads/GSE175930,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE178882,GEO,GSE178882,true,true,67755,true,67755,current_atlas_input,downloads/GSE178882,analysis_26GSE_V4/scanpy_projects/GSE178882/outputs/GSE178882_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE179994,GEO,GSE179994,false,false,0,false,0,available_not_selected,downloads/GSE179994,downloads/per_gse_h5ad_with_metadata/GSE179994_with_tcr.h5ad,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE181710,GEO,GSE181710,false,false,0,false,0,available_not_selected,downloads/GSE181710,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE188620,GEO,GSE188620,true,true,123218,true,123218,current_atlas_input,downloads/GSE188620,analysis_26GSE_V4/scanpy_projects/GSE188620/outputs/GSE188620_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE189126,GEO,GSE189126,false,false,0,false,0,available_not_selected,downloads/GSE189126,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE190870,GEO,GSE190870,true,true,16753,true,16753,current_atlas_input,downloads/GSE190870,analysis_26GSE_V4/scanpy_projects/GSE190870/outputs/GSE190870_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE198265,GEO,GSE198265,false,false,0,false,0,available_not_selected,downloads/GSE198265,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE206325,GEO,GSE206325,false,false,0,true,501012,extended_five_million_atlas_input,,,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE211504,GEO,GSE211504,true,true,37244,true,37244,current_atlas_input,downloads/GSE211504,analysis_26GSE_V4/scanpy_projects/GSE211504/outputs/GSE211504_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE212217,GEO,GSE212217,true,true,213706,true,213706,current_atlas_input,downloads/GSE212217,analysis_26GSE_V4/scanpy_projects/GSE212217/outputs/GSE212217_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE221776,GEO,GSE221776,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE221776,downloads/per_gse_h5ad_with_metadata/GSE221776_with_metadata.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE227709,GEO,GSE227709,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE227709,analysis_26GSE_V4/scanpy_projects/GSE227709/outputs/GSE227709_scanpy_processed.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE228597,GEO,GSE228597,true,true,149812,true,149812,current_atlas_input,downloads/GSE228597,analysis_26GSE_V4/scanpy_projects/GSE228597/outputs/GSE228597_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE229858,GEO,GSE229858,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE229858,downloads/per_gse_h5ad_with_metadata/GSE229858_with_metadata.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE229860,GEO,GSE229860,false,false,0,false,0,available_not_selected,downloads/GSE229860,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
